Index,SSID_slice,class,prob,xmin,ymin,xmax,ymax
0,AD_S005_04_000011,white_tent,0.6234178,112,96,160,176
1,AD_S005_04_000014,white_tent,0.68557805,352,304,400,368
2,AD_S005_04_000014,white_tent,0.62900746,288,352,352,400
3,AD_S005_04_000015,white_tent,0.96398103,0,240,48,304
4,AD_S005_04_000015,white_tent,0.9146209,32,272,96,336
5,AD_S005_04_000015,white_tent,0.5720774,0,352,48,400
6,AD_S005_04_000023,white_tent,0.97306865,256,256,320,320
7,AD_S005_04_000023,white_tent,0.94874084,320,192,384,256
8,AD_S005_04_000023,white_tent,0.90184736,224,32,272,96
9,AD_S005_04_000023,white_tent,0.88948864,320,16,368,80
10,AD_S005_04_000023,white_tent,0.8716943,288,64,352,128
11,AD_S005_04_000023,white_tent,0.7618826,256,96,304,160
12,AD_S005_04_000023,white_tent,0.7090623,0,224,48,288
13,AD_S005_04_000024,white_tent,0.8888677,16,160,80,208
14,AD_S005_04_000024,white_tent,0.8501658,0,16,64,144
15,AD_S005_04_000024,white_tent,0.80501693,48,0,96,32
16,AD_S005_04_000024,white_tent,0.73821455,0,256,32,304
17,AD_S005_05_000068,white_tent,0.6816328,304,336,368,400
